EVTNAME91;;;;;;;;;;;;;x
british_colony_purchase_title;British Colony Purchase;;;;Comprar colonias británicas;;;;;;;;x
british_colony_purchase_desc;The british owns some colonies on our dessire road to the pacific coast, we want to take those regions and we need to find a way to do it, money or bullets;;;;Los británicos poseen colonias que obstaculizan nuestra deseada expansión hacia el Pacifico, debemos hacer algo para obtenerlas, ya sea con plata o plomo;;;;;;;;x
true_freedom_title;True Freedom;;;;Verdadera libertad;;;;;;;;x
true_freedom_desc;Even being a country, for years, we had been a puppet state of european countries, they take our resourses, they take our people as slaves and soldiers to fight their wars... it's time to get a true freedom!;;;;Incluso siendo una nación, por años, nosotros hemos sido un estado títere de los europeos, ellos toman nuestros recursos, vuelven esclavos a nuestra gente y nuestros soldados pelean sus guerras… ¡es hora de obtener una verdadera libertad!;;;;;;;;x
rubber_explotation_title;Rubber Explotation;;;;Explotación de caucho;;;;;;;;x
rubber_explotation_desc;With our new position as a free country we need to start to develop our economy, administration and politics, but, the money is first.\n One good thing we learned from the europeans is how to trade with the rubber, and its high value, we need to focus on that resourse as fast as we can;;;;Ahora que somos una nación libre podemos comenzar a desarrollar nuestra economía, administración y política, pero, el dinero es primero.\n Una buena cosa que aprendimos de los europeos es como comerciar y trabajar el caucho además de su alto valor, necesitamos enfocarnos en ese recurso tan rápido como podamos.;;;;;;;;x
new_abyssinia_title;New Abyssinia;;;;Nueva Abyssinia;;;;;;;;x
new_abyssinia_desc;We are now the ruler of the region, we own all ethiopian provinces and we have the reconnaissance of the world as the New Abyssinia;;;;Ahora nosotros dominamos la región, poseemos todas las provincias etíopes y tendremos el reconocimiento del mundo como la Nueva Abyssinia.;;;;;;;;x
african_jewel_eth_title;African Jewel;;;;La Joya de Africa;;;;;;;;x
african_jewel_eth_desc;Our recent educational development has caught the attention of the world and they begin to call us with the title of The Jewel of Africa.\n It seems that we are on the right track and we should reinforce it by applying improvements in this field;;;;Nuestro reciente desarrollo ha atrapado la atención del mundo y comienzan a llamarnos como La Joya de Africa.\n Parece ser que estamos en el camino correcto y debemos reforzarlo aplicando las mejoras descubiertas.;;;;;;;;x
true_african_conference_eth_title;The True African Conference;;;;La Verdadera Conferencia de Africa;;;;;;;;x
true_african_conference_eth_desc;Our rise to Great Power has given us a privileged position before the European powers, therefore, we must establish our rules on our continent and put an end to European rule.\n Let's use our influence and call a Real Conference of African Countries to get rid of European abuse.;;;;Nuestro asenso a Gran Potencia nos ha dado una posición privilegiada ante las potencias europeas, así mismo, debemos establecer nuestra reglas en nuestro continente y ponerle fin al dominio europeo.\n Vamos a usar nuestra influencia y poder para convocar una verdadera conferencia de países africanos y encargarnos del abuso europeo.;;;;;;;;x
form_madagascar_title;Form Madagascar;;;;Forma Madagascar;;;;;;;;x
form_madagascar_desc;We have taken the entire island for ourselves, defeating rival kingdoms and expanding our control from the jungle to the beaches. It is time to establish a new government, a superior and powerful one.;;;;Hemos tomado la isla entera para nosotros, derrotando reinos rivales y expandiendo nuestro control desde la jungla hasta las playas. Es hora de establecer un nuevo gobierno, uno superior y más poderoso.;;;;;;;;x
ranavalonas_will_title;Ranavalona's Will;;;;La voluntad de Ranavalona;;;;;;;;x
ranavalonas_will_desc;Ranavalona I was a sovereign of the Kingdom of Madagascar from 1828 to 1861. She pursued a policy of isolationism and self-sufficiency, reducing economic and political ties with European powers, repelling a French attack on the coastal town of Foulpointe, and taking measure to eradicate the christian movement by member of The London Missionary Society.;;;;Ranavalona I fue la soberana del Reino de Madagascar de 1828 a 1861. Ella buscó una política aislacionista y auto-suficiente, reduciendo los tratados políticos y económicos con las potencias europeas, además de repeler el ataque francés en la ciudad costera de Foulpointe, y tomó medida para erradicar el movimiento cristiano por miembros del London Missionary Society.;;;;;;;;x
conditional_education_title;Conditional education;;;;Educación condicionada;;;;;;;;x
conditional_education_desc;We will not allow to change our traditions for foreign ideologies, but we must adapt to the technological level of the rest of the world, otherwise, our kingdom could be in danger.;;;;Nosotros no vamos a dejar que nuestras tradiciones sean cambiadas por ideologías extranjeras, pero debemos adaptarnos al nivel tecnológico del resto del mundo, de otro modo, nuestro reino estará en peligro.;;;;;;;;x
region_domination_title;Region domination;;;;Dominación de la región;;;;;;;;x
region_domination_desc;We have defeated our historic rival, now the region is ours.;;;;Hemos derrotado a nuestro rival histórico, ahora la región es nuestra.;;;;;;;;x
bornu_lake_crisis_title;Tchad Lake crisis;;;;Crisis del Lago Chad;;;;;;;;x
bornu_lake_crisis_desc;Relations with the Kanem-Bornu Empire are very bad and have generated friction on the border.\nThe Lake Tchad's region is very fertile and of great interest to us, but first we must weaken the Bornu forces within our territory.;;;;Las relaciones con el Imperio de Bornu son muy malas y han generado fricciones en la frontera.\n La región del Lado Chad es muy fértil y de gran interés para nosotros, pero primero debemos debilitar las fuerzas de Bornu en nuestro territorio.;;;;;;;;x
bornu_lake_farm_title;Tchad Lake Farmlands;;;;Agricultura en el Lago Chad;;;;;;;;x
bornu_lake_farm_desc;We have discovered huge fertile areas around our great lake, it is important to take advantage of what nature offers us and establish farms and agriculture in the region.;;;;Hemos descubierto enormes áreas de tierras fértiles alrededor de nuestro gran lago, es importarte tomar ventaja de lo que la naturaleza nos ofrece y establecer cultivos y desarrollar agricultura en la región.;;;;;;;;x
bornu_lake_crisis2_title;Tension raises over Lake Tchad;;;;La tensión se eleva en el Lado Chad;;;;;;;;x
bornu_lake_crisis2_desc;The neighboring Caliphate of Sokoto has committed murder of people of our culture, they seek to take over our country and the fertile region of Lake Tchad. We can't let them take us by surprise and prepare.;;;;El vecino Califato de Sokoto ha cometido el asesinato de nuestra gente, ellos buscan tomar nuestra nación y las tierras del Lado Chad. No podemos dejar que nos tomen por sorpresa.;;;;;;;;x
tanzanian_influence_title;Tanzanian influence;;;;Influencia tanzana;;;;;;;;x
tanzanian_influence_desc;Our unified kingdom is becoming more and more powerful and influential in the region, therefore we must expand our borders and become the most powerful kingdom in Africa.;;;;Nuestro unificado reino cada vez se vuelve más y más poderoso e influyente en la región, por lo tanto debemos expandir nuestras fronteras y convertirnos en el reino más poderoso de África.;;;;;;;;x
zanzibari_history_culture_title; History and Culture of Zanzibar;;;;Historia y cultura de Zanzibar;;;;;;;;x
zanzibari_history_culture_desc;People have lived in Zanzibar for 20,000 years. History properly starts when the islands became a base for traders voyaging between the African Great Lakes, the Somali Peninsula, the Arabian peninsula, Iran, and the Indian subcontinent.;;;;Las personas han vivido en Zanzibar desde hace 20,000 años. La historia oficialmente comienza cuando las islas se volvieron la base de intercambios entre los grandes lagos africanos, la península somalí, la península árabe, Persia e India.;;;;;;;;x
oyo_imperialism_title;Oyo Imperialism;;;;Imperialismo Oyo;;;;;;;;x
oyo_imperialism_desc;Since we are an independent nation, feelings of imperialism have been strengthened, restoring the ancient greatness of our empire is one of our greatest and most important priorities.;;;;Desde que somos una nación independiente, los sentimientos de imperialismo han tomado fuerza, restaurar la antigua grandeza de nuestro imperio es una de nuestras más grandes e importantes prioridades.;;;;;;;;x
bambara_cultures_title;Bambara cultures;;;;Culturas bambaras;;;;;;;;x
bambara_culture_desc;In the 17th century, one of Baramangolo’s descendants, Kaladian Coulibaly founded the kingdom of Ségou. Though it was one of the dominant forces in the region, it never became stable enough to outlast his death. A few decades later, circa 1712, his great-grandson, Mamari Coulibaly, established the Bambara Empire on the very same spot.\n Both animist kingdoms fell, Kaarta, aka. Massina, in 1854 and Ségou, aka. Bambara, following in 1862. They were conquered by the Tukulor cleric al-Hajj Umar Tall, and converted them to Islam.;;;;En el siglo XVII, uno de los descendientes de Baramangolo, Kaladian Coulibay fundó el Reino de Segu. Aun siendo una de las fuerzas dominantes de la región, nunca pudo obtener la estabilidad. Unas décadas después, cerca de 1712, su gran nieto, Mamari Coulibaly, estableció el Imperio Bambara en el mismo punto.\n Ambos reinos antiguos calleron, tanto Kaarta, llamado también Masina, en 1854 así como Segu, llamado también Bambara, en 1862. Fueron conquistados por el clérigo al-Hajj Umar Tall, del Imperio Tuculor, y convertidos al islam.;;;;;;;;x
mali_legacy_title;Mali's legacy;;;;Legado de Mali;;;;;;;;x
mali_legacy_desc;The Mali empire has been the greatest power in the region that has existed, it controlled the entire region up to the western coasts of the continent, but now, our empire is on its way to become even bigger, it is time to create a new history.;;;;El Imperio de Mali ha sido la más grande fuerza que ha existido en la región, controlando la región entera del oeste del continente, pero ahora, nuestro imperio está en camino de volverse incluso más grande, es hora de crear una nueva historia.;;;;;;;;x
west_african_resourses_title;West African resourses;;;;Recursos del oeste africano;;;;;;;;x
west_african_resourses_desc;The continent provides us with an enormous amount of natural resources and food, if we invest a little in developing agriculture and mining, we could help our people a lot.;;;;El continente nos provee enormes cantidades de recursos naturales y alimentos, si invertimos un poco en desarrollo de agricultura y minería, podríamos ayudar mucho a nuestra gente.;;;;;;;;x
exotic_trade_title; Exotic goods trade;;;;Mercado de recursos exóticos;;;;;;;;x
exotic_trade_desc;The rest of the world has observed that in our region there are resources that they do not have, it seems that our land is a place of resources and exotic materials for them. This is a great opportunity to create a global market and obtain wealth, for this we will need a port and ships to help us carry out exchanges.;;;;El resto del mundo ha observado que nuestra región tiene recursos que ellos no tienen, parece que nuestra tierra es hogar de recursos exóticos y materiales para ellos. Esta es una gran oportunidad de crear un mercado global y obtener financiamiento, para esto, necesitamos un puerto y navíos que nos ayuden a proteger nuestro mercado.;;;;;;;;x
tribal_rivalries_title;Tribal rivalries;;;;Rivalidades tribales;;;;;;;;x
tribal_rivalries_desc;Our region is too small for this amount of kingdoms, our culture is superior and more powerful, maybe we can take some actions about this problem.;;;;La región es muy pequeña para tantos reinos, nuestra cultura es superior y más poderosa, tal vez podamos tomar algunas acciones para resolver este problema.;;;;;;;;x
