EVTNAME95;;;;;;;;;;;;;x
AGRESSION_WAR_PUPPET_NAME_PRG_URU;War of the Triple Alliance;Guerre de la Triple Alliance;Tripel Allianz Krieg;;Guerra de la Triple Alianza;;;;;;;;x
AGRESSION_WAR_PUPPET_NAME_FRA_MEX;$SECOND$ War of the $FIRST$ Intervention;$FIRST$ intervention au Mexique;$FIRST$ intervention in Mexiko;;Guerra de Intervención $FIRST$;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME_TOK_JAP;The Boshin War;Guerre Boshin;Boshin Krieg;;Guerra Boshin;;;;;;;;x
NORMAL_CIVIL_WAR_NAME_TOK_JAP;The Boshin War;Guerre Boshin;Boshin Krieg;;Guerra Boshin;;;;;;;;x
NORMAL_WAR_RESTORE_ORDER_NAME_BRZ_RJU;$ORDER$ Farroupilha Revolution;$ORDER$ Guerre des Farrapos;$ORDER$ Farrapen-Revolution;;$ORDER$ Guerra de los Farrapos;;;;;;;;x
NORMAL_WAR_RESTORE_ORDER_NAME_BRZ_RGS;$ORDER$ Farroupilha Revolution;$ORDER$ Guerre des Farrapos;$ORDER$ Farrapen-Revolution;;$ORDER$ Guerra de los Farrapos;;;;;;;;x
AGRESSION_WAR_GUNBOAT_NAME_CHI_ENG;$ORDER$ Opium War;;;;$ORDER$ Guerra del Opio;;;;;;;;x
babylonian_tech_school;Hanging Gardens Ideology, Culture & Power;Idéologie, Culture et Pouvoir des Jardins Suspendus;Hängende Gärten Ideologie, Kultur und Macht;;Ideología, Cultura y Poder de Jardines Colgantes;;;;;;;;;x
demand_payment_cb;Demand Payment;demande de paiement;Zahlung verlangen;;Demanda de pago;;;;;;;;x
demand_payment_cb_desc;Force them to pay an amount of money for 5 years to us.;Les forcer à nous payer une somme pendant 5 ans.;Zwingen Sie sie, 5 Jahre lang einen Geldbetrag an uns zu zahlen.;;Forzalos a pagarnos una cantidad de dinero durante 5 años.;;;;;;;;x
demand_payment_cb_setup;Will force them to start a payment to us.;;;;Los forzará a empezar a pagarnos.;;;;;;;;x
demand_payment_cb_short;Demand Payment;;;;Demanda de pago;;;;;;;;x
install_fascist_gov_cb;Install fascism;;;;Instaurar el fascismo;;;;;;;;x
install_fascist_gov_cb_desc;Install the fascist government.;;;;Instalar un gobierno fascista.;;;;;;;;x
install_fascist_gov_cb_setup;Install the fascist government.;;;;Instalar un gobierno fascista.;;;;;;;;x
install_fascist_gov_cb_short;Install fascism.;;;;Instaurar fascismo.;;;;;;;;x
po_install_fascist_gov_type;Install fascist government;;;;Instaurar gobierno fascista;;;;;;;;x
install_democracy_gov_cb;Install democracy;;;;Instaurar democracia;;;;;;;;x
install_democracy_gov_cb_desc;Install a democratic government.;;;;Instalar un gobierno democrático.;;;;;;;;x
install_democracy_gov_cb_setup;Install a democratic government.;;;;Instaurar un gobierno democrático,;;;;;;;;x
install_democracy_gov_cb_short;Install democracy.;;;;Instalar democracia.;;;;;;;;x
